"population","temperature","trait","mean.herit","se.herit","herit.upper.CI","herit.lower.CI","mean.var.add","se.var.add","var.add.upper.CI","var.add.lower.CI","mean.var.pheno","se.var.pheno","var.pheno.upper.CI","var.pheno.lower.CI"
"LK-Vendace","2.0°C","Embryo Survival",0.0877275536839839,0.00317723008265698,0.336681073678002,0,0.579163632279538,0.0216676173172764,2.22218522350424,0,6.64448904873491,0.0423465573006388,9.84734340374151,4.37263631369549
"LK-Vendace","4.5°C","Embryo Survival",0.0211135007470479,0.00116448786146394,0.126396121613129,0,0.11346106456698,0.00633825951580384,0.702383110510499,0,5.37978144378039,0.020798768249512,6.83763119696919,4.28497656973323
"LK-Vendace","7.0°C","Embryo Survival",0.125919464943232,0.00351551144208038,0.373264167269805,0,0.692003386588596,0.0202092545480456,2.15820861279466,0,5.45584992760632,0.0225516928210576,7.02198302855429,4.1417554492615
"LK-Vendace","9.0°C","Embryo Survival",0.142982122699922,0.00250541322382642,0.310803917053647,3.29256760289968e-10,0.79947119313653,0.0146243540631273,1.79991852089109,1.73730765071042e-09,5.57395213874973,0.0186847392889122,6.77809062454417,4.59365577289885
"LK-Whitefish","2.0°C","Embryo Survival",0.012830232760016,0.00136853661069425,0.164694794750885,0,0.0959859382493221,0.0106716833294892,1.17269065647281,0,7.74052820309866,0.0486264020318924,11.5782286916618,5.32302482750893
"LK-Whitefish","4.5°C","Embryo Survival",0.209638992985144,0.00379115591052034,0.451750505736092,2.48888479536507e-10,1.1567560755875,0.0249975261292802,3.05082734435388,1.08598166914862e-09,5.26232997338499,0.028374452037014,7.32417886722277,3.84564589006276
"LK-Whitefish","7.0°C","Embryo Survival",0.0861368490603567,0.00373521022603096,0.385945845885655,0,0.590199401204964,0.0273355084288987,2.84734238739158,0,6.78631588741594,0.0442068319745237,10.0896997344492,4.65633199506438
"LK-Whitefish","9.0°C","Embryo Survival",0.300994536204591,0.00530331838997877,0.625971962060685,0,2.29525050965608,0.057190431108945,6.94361634357551,0,7.17897771905379,0.0909422392880045,15.2413020171057,3.72112254862577
"LS-Cisco","2.0°C","Embryo Survival",0.0271945924406648,0.00158719250353802,0.17099561147193,0,0.178971178887648,0.0106477077806201,1.21029061359496,0,6.53381969069844,0.0325455103334716,8.97296308390054,4.89032220421485
"LS-Cisco","4.5°C","Embryo Survival",0.015326781087825,0.00130050262299114,0.152300275288419,0,0.190139018967862,0.0166560941561717,1.88160014836343,0,12.2275966392011,0.0686680165440191,17.24180601365,8.79754156540808
"LS-Cisco","7.0°C","Embryo Survival",0.0363807242461822,0.00201453660208142,0.215459443896262,0,0.632547594757558,0.036596878292952,3.55820070009491,0,17.1934510808789,0.0929310512364695,24.3213096273118,12.5270121254738
"LS-Cisco","9.0°C","Embryo Survival",0.00848810528575827,0.000836177941260261,0.0972712682020926,0,0.059899059024669,0.00591321476890308,0.664144718049492,0,7.40304009776879,0.0340505090020516,9.69682775162772,5.53648753141912
"LO-Cisco","2.0°C","Embryo Survival",0.00937762738405915,0.00235962001689599,0.00263920217195898,0,0.218058417293714,0.0727331487095685,0.0942249201675038,0,67.3606759650937,1.38194498464979,167.206473634843,9.1046381745556
"LO-Cisco","4.5°C","Embryo Survival",0.136746359103086,0.00719248321603795,0.728908713782692,0,2.17398240389456,0.186338955005244,15.8310343865658,0,30.1695074171508,1.14529658087113,126.361466880654,3.28986813369645
"LO-Cisco","7.0°C","Embryo Survival",0.0294465998246586,0.00231357746808978,0.24960743980981,0,0.19919070219806,0.0163892861942119,1.62808227026092,0,7.27501518087231,0.049651534171376,10.8712472614854,5.02580981633264
"LO-Cisco","9.0°C","Embryo Survival",0.179826804160016,0.00192371605512771,0.307147917891579,0.0667844141458344,0.961772053316388,0.0115817306263997,1.76789831900464,0.349780993904964,5.29428815944753,0.0144108807720683,6.22335920306008,4.53776684637421
"LK-Vendace","2.0°C","Incubation Period (ADD)",0.135443920181164,0.00261276087028321,0.306525819076581,0,122.169826176644,2.64316914302735,314.051046602556,0,3147.35584574405,1808.11766850486,1188.75744538804,640.464788559379
"LK-Vendace","4.5°C","Incubation Period (ADD)",0.126945338819455,0.00203455307503122,0.254083467300085,2.71362842693109e-05,1756.55955096964,29.4818425665112,3627.95860521594,0.332382175150871,13727.8008109975,32.8152375864114,15690.1333935219,11849.320405495
"LK-Vendace","7.0°C","Incubation Period (ADD)",0.0279565115996493,0.00118687548173302,0.122804849887386,0,424.523623478563,18.3359938739064,1892.79977609335,0,14929.2655812892,40.3326423581852,17595.7239655116,12568.1925393205
"LK-Vendace","9.0°C","Incubation Period (ADD)",0.0330407475245467,0.00137143066824054,0.143804449636358,0,278.693393327314,11.7113268837356,1247.96476842583,0,8533.48448444374,30.2503443863533,10356.5317679047,6722.56415880764
"LK-Whitefish","2.0°C","Incubation Period (ADD)",0.0738918193049783,0.00262546202763727,0.276098282136085,0,657.871761946183,25.2813601804799,2699.06466684893,0,11451.9520409184,230.739674623646,28376.1033408522,2467.7363204772
"LK-Whitefish","4.5°C","Incubation Period (ADD)",0.0549204789982419,0.00427742677697055,0.58391468946612,0,2454.71936481923,233.606301444299,26415.1030807694,0,38381.2389815411,581.254071066801,79779.9940233541,10547.5380545993
"LK-Whitefish","7.0°C","Incubation Period (ADD)",0.000174103724117642,0.000135272266158997,2.20394449653537e-07,0,6.7415922640112,4.0618267262288,0.0240619152645485,0,90083.3858042886,1090.69262966103,162708.926780362,29408.9089781812
"LK-Whitefish","9.0°C","Incubation Period (ADD)",0.448819447252766,0.0129808525101827,0.985470696622363,0,41452.8170051181,1392.80975495025,137449.682374669,0,91059.4300574384,1150.08832786973,159286.744879545,21884.7063413901
"LS-Cisco","2.0°C","Incubation Period (ADD)",0.0139927600751182,0.000673785961760332,0.0727437686614982,0,82.4126437019992,3.98100371891892,426.754997012968,0,6024.85928955351,19.6477461710013,7307.79000893411,4926.32831973674
"LS-Cisco","4.5°C","Incubation Period (ADD)",0.000636717594724169,0.000123654808360907,0.0102361031395053,0,7.26588947963986,1.4177485842879,115.151614593078,0,11887.3740974238,31.9145247876028,14002.8394323125,10059.8249956326
"LS-Cisco","7.0°C","Incubation Period (ADD)",0.00451427541949981,0.000405975564925942,0.0486192211766779,0,53.995411588021,4.80643352243644,582.265062769956,0,12018.4619138052,24.2975577700725,13499.7316043642,10616.024330287
"LS-Cisco","9.0°C","Incubation Period (ADD)",0.000929702372226704,0.000152905075821634,0.0146067596582225,0,13.0203313594487,2.12837298146719,217.289017381494,0,15016.6513826981,42.8446923548564,17921.4608075578,12688.2453992432
"LO-Cisco","2.0°C","Incubation Period (ADD)",0.467424344272246,0.00101699866084419,0.528907032840306,0.405743793642569,216.912971767918,0.709645669447108,264.395337025586,175.411347114749,463.442355755797,0.833677256622468,517.884138235412,416.706297125714
"LO-Cisco","4.5°C","Incubation Period (ADD)",0.505533481491678,0.000941436311931763,0.558127434873451,0.444695244755351,1218.64100246655,3.93086331210352,1461.81934165603,980.59988561776,2406.88545486654,4.76495732403691,2692.30695526213,2111.25643543488
"LO-Cisco","7.0°C","Incubation Period (ADD)",0.32078344076884,0.0010594020591181,0.385422244893111,0.257890789144679,631.568384427895,2.78933200866134,812.863864474958,470.751172965572,1964.16996695087,3.81920524374522,2228.06486380607,1744.96852539402
"LO-Cisco","9.0°C","Incubation Period (ADD)",0.132987239637804,0.00141528838122028,0.21900372253618,0.0454453877762399,245.038406578733,2.69723205639482,415.937917546832,87.5003714526769,3800.12315119011,1306.61218121809,2065.55504498482,1624.91503696819
"LK-Vendace","2.0°C","Incubation Period (DPF)",0.0819000861644578,0.00183401898214297,0.212288959598145,0,3.71419360348826,0.0859737783365968,10.1075506729501,0,45.5829096228681,0.296959632689508,66.7928467493826,31.1238948828967
"LK-Vendace","4.5°C","Incubation Period (DPF)",0.133377744313043,0.00198144834095946,0.264558638564562,0.0127187644260976,86.8365854145571,1.37627312197085,186.697211214295,8.28822873649517,644.604783929722,1.58315609234157,745.261221057408,552.400505491321
"LK-Vendace","7.0°C","Incubation Period (DPF)",0.0272288331856645,0.00124107269295474,0.128579620567892,0,7.78975400455695,0.361684816697676,36.3745016213138,0,282.072691451846,0.749143618276333,332.003213504138,239.862504781915
"LK-Vendace","9.0°C","Incubation Period (DPF)",0.0434301780092486,0.00153656851677901,0.155102256260252,0,5.65801809807589,0.203185222105057,21.0524253629308,0,129.472954789146,0.47034316257564,161.699099388427,103.820342370043
"LK-Whitefish","2.0°C","Incubation Period (DPF)",0.0375021881642969,0.00186778217511616,0.217463106659593,0,76.8490799139815,4.09531053695242,421.857326227003,0,3341.64765926853,70.4084913894502,8516.75558724334,345.191291720634
"LK-Whitefish","4.5°C","Incubation Period (DPF)",0.052070455151026,0.00465882585503561,0.639243848740231,0,185.535226632883,20.6445676352123,2776.65663464931,0,2876.49313395266,42.0373082694004,5645.65352722731,678.283865528191
"LK-Whitefish","7.0°C","Incubation Period (DPF)",5.43708106497653e-05,3.55886863133345e-05,1.96632880376345e-07,0,0.0563424314387172,0.0361710014450885,0.000356387007186076,0,2019.55992542299,24.1597138288087,3595.83380142167,598.124247142248
"LK-Whitefish","9.0°C","Incubation Period (DPF)",0.436865509038333,0.0127732576785758,0.984681303216679,0,644.167481715841,22.1709290857566,2245.1055647535,0,1461.41482670636,19.2367879986004,2668.76824186191,336.213888526788
"LS-Cisco","2.0°C","Incubation Period (DPF)",0.0145685755059948,0.000728030402992836,0.075248565439644,0,23.9194993023003,1.20013349276451,123.871417318628,0,1665.09687816213,5.24565624996341,2012.60589301088,1367.48132481039
"LS-Cisco","4.5°C","Incubation Period (DPF)",0.000541316025572768,0.000109446374158561,0.00757043786838143,0,0.337233999592686,0.068194094713546,4.34764926118747,0,633.820896156908,1.73551551095439,746.127306362711,527.143726020607
"LS-Cisco","7.0°C","Incubation Period (DPF)",0.00459353443041367,0.000419774761685504,0.0486800853570666,0,1.17799340172082,0.10798438404346,11.9667556072572,0,255.430627486353,0.493351547735186,287.368594536121,225.385111057763
"LS-Cisco","9.0°C","Incubation Period (DPF)",0.00105166392896517,0.000190667830151669,0.0155790397866723,0,0.189064732683479,0.0342104938681352,2.72354268071063,0,196.904412919477,2.91152208063945,227.077088903281,164.169656037046
"LO-Cisco","2.0°C","Incubation Period (DPF)",0.466282484589662,0.00101211590245541,0.526689094717093,0.401100130294175,62.5449737392618,0.200963247061706,75.2332675950691,50.4011981922289,133.955050287581,0.229583350841058,147.75600625618,120.400586523661
"LO-Cisco","4.5°C","Incubation Period (DPF)",0.504685314830215,0.000906443093948553,0.558710052300286,0.444770608350365,64.911772685242,0.202377460487663,77.8354691429389,52.9344343975989,128.438271221858,0.247209857322856,144.561312819314,113.53153384153
"LO-Cisco","7.0°C","Incubation Period (DPF)",0.319198666216199,0.00107572284247704,0.384137230880148,0.249040149970685,13.4418886273764,0.0617169774514461,17.2098745879007,9.8150181468024,41.9915481387685,0.0844374980944377,47.6724170207484,37.1460294086135
"LO-Cisco","9.0°C","Incubation Period (DPF)",0.131845623072182,0.00150765036230797,0.22440007713469,0.0394480408964202,3.1579967442349,0.0374421097916877,5.59305123771137,0.949259923586832,387.471399004368,266.288645198784,27.242696233683,21.2119880537636
